URL,Title,Description,Keywords,Title Exists (True/False),Description Exists (True/False),Keywords Exists (True/False)
http://10.4.95.44/obrazovanie/tut-est-formy/3_uroven_form,3 уровень форм,3 уровень,,True,True,False
http://10.4.95.44/kak_pomoch_rebenku/onlainkonsultatsiya_detskogo_vracha,Онлайн консультация детство,Онлайн консультация детство,,True,True,False
http://10.4.95.44/kak_pomoch_rebenku/onlainkonsultatsiya_akusheraginekologa,Онлайн-консультация с врачом мама,Онлайн-консультация с врачом мама,,True,True,False
http://10.4.95.44/kak_pomoch_rebenku/epilepsiya,Эпилепсия,Описание эпилепсии на тесте,,True,True,False
http://10.4.95.44/planirovanie_beremennosti/poleznie_soveti_vrachei/izmeneniya_v_organizme_beremennoi_zhenschini_chto_yavlyaetsy,"Изменения в организме беременной женщины: что является нормой, а что патологией","Изменения в организме беременной женщины: что является нормой, а что патологией",,True,True,False
http://10.4.95.44/planirovanie_beremennosti/poleznie_soveti_vrachei/chto_nuzhno_znat_buduschei_mame_o_pervom_skrininge,Что нужно знать будущей маме о первом скрининге?,Что нужно знать будущей маме о первом скрининге?,,True,True,False
http://10.4.95.44/breastcansersupport,Комплексная поддержка при раке груди,Комплексная поддержка при раке груди,,True,True,False
http://10.4.95.44/profile/zapis_na_priem_k_vrachu_,,,,False,False,False
http://10.4.95.44/profile/vizov_vracha_na_dom,,,,False,False,False
http://10.4.95.44/profile/upravlenie_zapisyami_napriem_ivizovami_nadom,,,,False,False,False
http://10.4.95.44/profile/rezultati_issledovanii,,,,False,False,False
http://10.4.95.44/profile/svedeniya_ovipisannih_retseptah,,,,False,False,False
http://10.4.95.44/profile,,,,False,False,False
http://10.4.95.44/v-pomoshch-budushchemu-vrachu/spisok-shkol-s-medicinskimi-i-himiko-biologicheskimi-klassami,Школы с медицинскими и химико-биологическими классами,"Раздел с списком школ Московской области, с медицинскими и химико-биологическими классами",,True,True,False
http://10.4.95.44/v-pomoshch-budushchemu-vrachu,В помощь будущему врачу,"Список медицинских колледжей, медицинских и химико-биологических классов в Московской области.",,True,True,False
http://10.4.95.44/psychosupport,Заявка на консультацию,Заявка на консультацию,,True,True,False
http://10.4.95.44/zayavka_na_obezbolivanie,Заявка на обезболивание,Заявка на обезболивание,,True,True,False
http://10.4.95.44/schoolmothers,Школа матерей,"Школа матерей - это образовательные мероприятия, которые еженедельно проводятся в женских консультациях Московской области. На них будущим ма...........",,True,True,False
http://10.4.95.44/mezhdunarodnoe_sotrudnichestvo/mezhdunarodnaya_meditsinskaya_panoramavirtualnoe_sotrudniche,Международная медицинская панорама-виртуальное сотрудничество,Международная панорама для врачей.,,True,True,False
http://10.4.95.44/uslugi,Услуги,Услуги,,True,True,False
http://10.4.95.44/testovii_kontent/test,Test,Test,,True,True,False
http://10.4.95.44/testovii_kontent,Тестовый контент,,,True,False,False
